,nome,genero
614,Richard Jenkins,M
615,Glen Hansard,M
616,John Carney,M
617,Olivier Dahan,M
618,Sam Riley,M
619,Anton Corbijn,M
620,José Padilha,M
621,Will Forte,M
622,Amole Gupte,M
623,Matthew Macfadyen,M
624,David Silverman,M
625,Gaspard Ulliel,M
626,John C. Reilly,M
627,Ash Brannon,M
628,Darsheel Safary,M
629,Wagner Moura,M
630,Mathieu Amalric,M
631,Cristian Mungiu,M
632,Kåre Hedebrant,M
633,Tomas Alfredson,M
634,Asa Butterfield,M
635,Byron Howard,M
636,Jim Sturgess,M
637,Dev Patel,M
638,Martin McDonagh,M
639,Jason Segel,M
640,Ben Burtt,M
641,Justin Theroux,M
642,Mark Osborne,M
643,Shahid Kapoor,M
644,Imtiaz Ali,M
645,Taika Waititi,M
646,Hideaki Anno,M
647,Elliot Page,M
648,Tom Hardy,M
649,Brad Garrett,M
650,Seth Rogen,M
651,James McAvoy,M
652,Kevin Macdonald,M
653,Jonathan Dayton,M
654,Gabriele Muccino,M
655,Gerardo Taracena,M
656,Liev Schreiber,M
657,Florian Henckel von Donnersmarck,M
658,Christian Carion,M
659,Benjamin Bratt,M
660,Terrence Howard,M
661,Josh Lucas,M
662,Tyler Perry,M
663,Bennett Miller,M
664,Rian Johnson,M
665,Amitabh Bachchan,M
666,Ulrich Mühe,M
667,Ben Whishaw,M
668,Thomas Turgoose,M
669,Charlie Cox,M
670,Logan Lerman,M
671,Rakeysh Omprakash Mehra,M
672,Jean Dujardin,M
673,Michel Hazanavicius,M
674,Patrick Fugit,M
675,Mads Mikkelsen,M
676,Anthony Russo,M
677,Bob Odenkirk,M
678,Ericson Core,M
679,François Cluzet,M
680,Werner Herzog,M
681,Lee Pace,M
682,Neil Burger,M
683,Sacha Baron Cohen,M
684,David Yates,M
685,Nuri Bilge Ceylan,M
686,Chris Pine,M
687,Josh Brolin,M
688,Bill Nighy,M
689,Eddie Redmayne,M
690,Hiromasa Yonebayashi,M
691,Jonah Hill,M
692,Won Bin,M
693,Jeong-beom Lee,M
694,Wilson Yip,M
695,Benicio Del Toro,M
696,Paul Bettany,M
697,Michael Fassbender,M
698,Lee Unkrich,M
699,Joseph Kosinski,M
700,Pierre Coffin,M
701,Nathan Greno,M
702,Kodi Smit-McPhee,M
703,Donnie Yen,M
704,Vikramaditya Motwane,M
705,Rajat Barmecha,M
706,Russell Brand,M
707,Morten Tyldum,M
708,Paolo Sorrentino,M
709,John Boyega,M
710,Zachary Quinto,M
711,Iko Uwais,M
712,Gareth Evans,M
713,Payman Maadi,M
714,Bradley Cooper,M
715,Justin Timberlake,M
716,Henry Cavill,M
717,Tate Taylor,M
718,Olivier Nakache,M
719,Chris Hemsworth,M
720,Chris Evans,M
721,Gareth Edwards,M
722,Steve McQueen,M
723,Jay Baruchel,M
724,Evan McGuire,M
725,Quinton Aaron,M
726,Sharlto Copley,M
727,Neill Blomkamp,M
728,Marc Webb,M
729,Jesse Eisenberg,M
730,Ruben Fleischer,M
731,Rajkumar Hirani,M
732,Zach Galifianakis,M
733,Sam Worthington,M
734,Jonathan Levine,M
735,Matthew Goode,M
736,Masahiro Motoki,M
737,Yôjirô Takita,M
738,Jee-woon Kim,M
739,Jackie Earle Haley,M
740,Duncan Jones,M
741,Jaco Van Dormael,M
742,Juan José Campanella,M
743,Tomm Moore,M
744,Ben Foster,M
745,Ryûnosuke Kamiki,M
746,Mamoru Hosoda,M
747,Cary Joji Fukunaga,M
748,Luca Guadagnino,M
749,Asghar Farhadi,M
750,Sean Patrick Flanery,M
751,Christian Friedel,M
752,Aaron Taylor-Johnson,M
753,Tahar Rahim,M
754,Jean-Marc Vallée,M
755,Michael Stuhlbarg,M
756,Phil Lord,M
757,Niels Arden Oplev,M
758,Tom Hooper,M
759,Vincent Paronnaud,M
760,Matt Reeves,M
761,M. Night Shyamalan,M
762,John Candy,M
763,Joseph Sargent,M
764,Michael Douglas,M
765,Graham Greene,M
766,George P. Cosmatos,M
767,Rutger Hauer,M
768,Sam Peckinpah,M
769,Tony Roberts,M
770,Brian G. Hutton,M
771,J. Lee Thompson,M
772,Curtis Hanson,M
773,Bob Fosse,M
774,Jack Clayton,M
775,Jackie Gleason,M
776,Oleg Yankovskiy,M
777,Timothy Hutton,M
778,Andrei Tarkovsky,M
779,Malcolm McDowell,M
780,Robby Benson,M
781,Robert Zemeckis,M
782,Chris Columbus,M
783,Kevin Bacon,M
784,Kevin Reynolds,M
785,Martin Brest,M
786,F. Murray Abraham,M
787,Sergio Leone,M
788,Ralph Macchio,M
789,Kyle MacLachlan,M
790,David Lynch,M
791,James Cameron,M
792,Dennis Hopper,M
793,Peter Coyote,M
794,Martin Sheen,M
795,Ernest Borgnine,M
796,Tommy Lee Jones,M
797,Harry Dean Stanton,M
798,John Cleese,M
799,Graham Chapman,M
800,Fred Zinnemann,M
801,Don Siegel,M
802,John Hurt,M
803,Allen Garfield,M
804,Wim Wenders,M
805,Richard Brooks,M
806,John Frankenheimer,M
807,John Hughes,M
808,Jon Voight,M
809,Hal Ashby,M
810,Norman Jewison,M
811,Robert Mulligan,M
812,Ronny Cox,M
813,Roy Scheider,M
814,Robert Benton,M
815,Ryan O'Neal,M
816,Terry Jones,M
817,Tom Skerritt,M
818,Eddie Murphy,M
819,Burt Lancaster,M
820,Anthony Perkins,M
821,François Truffaut,M
822,Michael Keaton,M
823,Tony Scott,M
824,Peter Billingsley,M
825,James L. Brooks,M
826,James Woods,M
827,Nicolas Cage,M
828,Christopher Walken,M
829,Sam Shepard,M
830,Philip Kaufman,M
831,Matthew Broderick,M
832,Dennis Quaid,M
833,Tom Berenger,M
834,Tom Cruise,M
835,Michael McKean,M
836,Rob Reiner,M
837,Michael Radford,M
838,John McTiernan,M
839,Luc Besson,M
840,James Frawley,M
841,Lasse Hallström,M
842,Anthony Edwards,M
843,Kevin Costner,M
844,Ken Watanabe,M
845,Mickey Rourke,M
846,Saeed Jaffrey,M
847,Doug McKeon,M
848,Jeff Goldblum,M
849,Tim Burton,M
850,Griffin Dunne,M
851,Paul Verhoeven,M
852,Ethan Hawke,M
