Series_Title,Released_Year,Country
Bir Zamanlar Anadolu'da,2011,Turkey
The Artist,2011,France
Edge of Tomorrow,2014,USA
Amour,2012,France
The Irishman,2019,USA
Un prophète,2009,France
Moon,2009,UK
Låt den rätte komma in,2008,Sweden
District 9,2009,South Africa
The Wrestler,2008,USA
Jab We Met,2007,India
Boyhood,2014,USA
"4 luni, 3 saptamâni si 2 zile",2007,Romania
Star Trek,2009,USA
In Bruges,2008,UK
The Man from Earth,2007,USA
Letters from Iwo Jima,2006,USA
The Fall,2006,UK
Life of Pi,2012,USA
Fantastic Mr. Fox,2009,USA
C.R.A.Z.Y.,2005,Canada
Les choristes,2004,France
Iron Man,2008,USA
Shaun of the Dead,2004,UK
Gegen die Wand,2004,Germany
Mystic River,2003,USA
Harry Potter and the Prisoner of Azkaban,2004,UK
Ying xiong,2002,China
Hable con ella,2002,Spain
No Man's Land,2001,Bosnia and Herzegovina
Cowboy Bebop: Tengoku no tobira,2001,Japan
The Bourne Identity,2002,USA
Nueve reinas,2000,Argentina
Children of Men,2006,UK
Almost Famous,2000,USA
Mulholland Dr.,2001,USA
Toy Story 2,1999,USA
Boogie Nights,1997,USA
Mimi wo sumaseba,1995,Japan
Once Were Warriors,1994,New Zealand
True Romance,1993,USA
Trois couleurs: Bleu,1993,France
Jûbê ninpûchô,1993,Japan
Carlito's Way,1993,USA
Edward Scissorhands,1990,USA
My Left Foot: The Story of Christy Brown,1989,Ireland
Crimes and Misdemeanors,1989,USA
The Untouchables,1987,USA
Hannah and Her Sisters,1986,USA
Brazil,1985,UK
This Is Spinal Tap,1984,USA
A Christmas Story,1983,USA
The Blues Brothers,1980,USA
Manhattan,1979,USA
All That Jazz,1979,USA
Dawn of the Dead,1978,USA
All the President's Men,1976,USA
La montaña sagrada,1973,Mexico
Amarcord,1973,Italy
Le charme discret de la bourgeoisie,1972,France
"Aguirre, der Zorn Gottes",1972,Germany
Harold and Maude,1971,USA
Patton,1970,USA
The Wild Bunch,1969,USA
Night of the Living Dead,1968,USA
The Lion in Winter,1968,UK
In the Heat of the Night,1967,USA
Charade,1963,USA
The Manchurian Candidate,1962,USA
Spartacus,1960,USA
L'avventura,1960,Italy
Hiroshima mon amour,1959,France
The Ten Commandments,1956,USA
The Searchers,1956,USA
East of Eden,1955,USA
High Noon,1952,USA
Strangers on a Train,1951,USA
Harvey,1950,USA
Miracle on 34th Street,1947,USA
Notorious,1946,USA
The Big Sleep,1946,USA
The Lost Weekend,1945,USA
The Philadelphia Story,1940,USA
His Girl Friday,1940,USA
The Adventures of Robin Hood,1938,USA
A Night at the Opera,1935,USA
King Kong,1933,USA
Freaks,1932,USA
Nosferatu,1922,Germany
The Gentlemen,2019,UK
Raazi,2018,India
Sound of Metal,2019,USA
Forushande,2016,Iran
Dunkirk,2017,UK
Perfetti sconosciuti,2016,Italy
Hidden Figures,2016,USA
Paddington 2,2017,UK
Udta Punjab,2016,India
Kubo and the Two Strings,2016,USA
M.S. Dhoni: The Untold Story,2016,India
Manchester by the Sea,2016,USA
Under sandet,2015,Denmark
Rogue One,2016,USA
Captain America: Civil War,2016,USA
The Hateful Eight,2015,USA
Little Women,2019,USA
Loving Vincent,2017,UK
Pride,2014,UK
Le passé,2013,France
La grande bellezza,2013,Italy
The Lunchbox,2013,India
Vicky Donor,2012,India
Big Hero 6,2014,USA
About Time,2013,UK
English Vinglish,2012,India
Kaze tachinu,2013,Japan
Toy Story 4,2019,USA
La migliore offerta,2013,Italy
Moonrise Kingdom,2012,USA
How to Train Your Dragon 2,2014,USA
The Big Short,2015,USA
Kokuhaku,2010,Japan
Ang-ma-reul bo-at-da,2010,South Korea
The Girl with the Dragon Tattoo,2011,USA
Captain Phillips,2013,USA
Ajeossi,2010,South Korea
Straight Outta Compton,2015,USA
Madeo,2009,South Korea
Chugyeokja,2008,South Korea
The Hobbit: The Desolation of Smaug,2013,USA
Das weiße Band - Eine deutsche Kindergeschichte,2009,Germany
Män som hatar kvinnor,2009,Sweden
The Trial of the Chicago 7,2020,USA
Druk,2020,Denmark
The Fighter,2010,USA
Taken,2008,France
The Boy in the Striped Pyjamas,2008,UK
Once,2007,Ireland
The Hobbit: An Unexpected Journey,2012,USA
Auf der anderen Seite,2007,Germany
Atonement,2007,UK
Drive,2011,USA
American Gangster,2007,USA
Avatar,2009,USA
Mr. Nobody,2009,Belgium
Apocalypto,2006,USA
Little Miss Sunshine,2006,USA
Hot Fuzz,2007,UK
The Curious Case of Benjamin Button,2008,USA
Veer-Zaara,2004,India
Adams æbler,2005,Denmark
Pride & Prejudice,2005,UK
